date,machine_name,machine_age_days,days_since_malfunction,daily_operating_hours,malfunction_component,failed_in_next_7_days
2023-01-01,Mixer 0,202,28,20.59,Blade,0
2023-01-02,Mixer 0,203,29,24.0,Blade,0
2023-01-03,Mixer 0,204,30,24.0,Blade,0
2023-01-04,Mixer 0,205,31,21.07,Blade,0
2023-01-05,Mixer 0,206,32,16.12,Blade,0
2023-01-06,Mixer 0,207,33,20.17,Blade,0
2023-01-07,Mixer 0,208,34,18.97,Blade,0
2023-01-08,Mixer 0,209,35,10.35,Blade,0
2023-01-09,Mixer 0,210,36,13.95,Blade,0
2023-01-10,Mixer 0,211,37,19.26,Blade,0
2023-01-11,Mixer 0,212,38,23.86,Blade,0
2023-01-12,Mixer 0,213,39,17.1,Blade,0
2023-01-13,Mixer 0,214,40,15.82,Blade,0
2023-01-14,Mixer 0,215,41,18.44,Blade,0
2023-01-15,Mixer 0,216,42,15.6,Blade,0
2023-01-16,Mixer 0,217,43,16.83,Blade,0
2023-01-17,Mixer 0,218,44,17.95,Blade,0
2023-01-18,Mixer 0,219,45,13.77,Blade,0
2023-01-19,Mixer 0,220,46,21.29,Blade,0
2023-01-20,Mixer 0,221,47,13.12,Blade,0
2023-01-21,Mixer 0,222,48,12.69,Blade,0
2023-01-22,Mixer 0,223,49,18.79,Blade,0
2023-01-23,Mixer 0,224,50,20.95,Blade,0
2023-01-24,Mixer 0,225,51,18.69,Blade,1
2023-01-25,Mixer 0,226,52,17.54,Blade,1
2023-01-26,Mixer 0,227,53,16.8,Blade,1
2023-01-27,Mixer 0,228,54,16.16,Blade,1
2023-01-28,Mixer 0,229,55,22.23,Blade,1
2023-01-29,Mixer 0,230,56,19.3,Blade,1
2023-01-30,Mixer 0,231,57,16.46,Blade,1
2023-01-31,Mixer 0,232,58,15.29,Blade,0
2023-02-01,Mixer 0,233,0,20.45,Conveyor Belt,0
2023-02-02,Mixer 0,234,1,21.72,Conveyor Belt,0
2023-02-03,Mixer 0,235,2,20.71,Conveyor Belt,0
2023-02-04,Mixer 0,236,3,20.65,Conveyor Belt,0
2023-02-05,Mixer 0,237,4,18.96,Conveyor Belt,0
2023-02-06,Mixer 0,238,5,17.02,Conveyor Belt,0
2023-02-07,Mixer 0,239,6,14.92,Conveyor Belt,0
2023-02-08,Mixer 0,240,7,11.7,Conveyor Belt,0
2023-02-09,Mixer 0,241,8,20.55,Conveyor Belt,0
2023-02-10,Mixer 0,242,9,14.26,Conveyor Belt,0
2023-02-11,Mixer 0,243,10,21.14,Conveyor Belt,0
2023-02-12,Mixer 0,244,11,15.54,Conveyor Belt,0
2023-02-13,Mixer 0,245,12,19.33,Conveyor Belt,0
2023-02-14,Mixer 0,246,13,17.76,Conveyor Belt,0
2023-02-15,Mixer 0,247,14,21.84,Conveyor Belt,0
2023-02-16,Mixer 0,248,15,19.19,Conveyor Belt,0
2023-02-17,Mixer 0,249,16,13.89,Conveyor Belt,0
2023-02-18,Mixer 0,250,17,18.54,Conveyor Belt,0
2023-02-19,Mixer 0,251,18,20.43,Conveyor Belt,0
2023-02-20,Mixer 0,252,19,12.13,Conveyor Belt,0
2023-02-21,Mixer 0,253,20,21.57,Conveyor Belt,0
2023-02-22,Mixer 0,254,21,16.34,Conveyor Belt,0
2023-02-23,Mixer 0,255,22,12.41,Conveyor Belt,0
2023-02-24,Mixer 0,256,23,16.69,Conveyor Belt,0
2023-02-25,Mixer 0,257,24,14.55,Conveyor Belt,0
2023-02-26,Mixer 0,258,25,12.6,Conveyor Belt,0
2023-02-27,Mixer 0,259,26,13.92,Conveyor Belt,0
2023-02-28,Mixer 0,260,27,24.0,Conveyor Belt,0
2023-03-01,Mixer 0,261,28,17.39,Conveyor Belt,0
2023-03-02,Mixer 0,262,29,16.07,Conveyor Belt,0
2023-03-03,Mixer 0,263,30,15.72,Conveyor Belt,0
2023-03-04,Mixer 0,264,31,17.94,Conveyor Belt,0
2023-03-05,Mixer 0,265,32,17.89,Conveyor Belt,0
2023-03-06,Mixer 0,266,33,14.97,Conveyor Belt,0
2023-03-07,Mixer 0,267,34,19.83,Conveyor Belt,0
2023-03-08,Mixer 0,268,35,17.74,Conveyor Belt,0
2023-03-09,Mixer 0,269,36,19.38,Conveyor Belt,0
2023-03-10,Mixer 0,270,37,23.73,Conveyor Belt,0
2023-03-11,Mixer 0,271,38,22.26,Conveyor Belt,0
2023-03-12,Mixer 0,272,39,24.0,Conveyor Belt,0
2023-03-13,Mixer 0,273,40,22.93,Conveyor Belt,0
2023-03-14,Mixer 0,274,41,20.91,Conveyor Belt,0
2023-03-15,Mixer 0,275,42,15.52,Conveyor Belt,0
2023-03-16,Mixer 0,276,43,22.87,Conveyor Belt,0
2023-03-17,Mixer 0,277,44,16.44,Conveyor Belt,0
2023-03-18,Mixer 0,278,45,24.0,Conveyor Belt,0
2023-03-19,Mixer 0,279,46,18.32,Conveyor Belt,0
2023-03-20,Mixer 0,280,47,20.87,Conveyor Belt,0
2023-03-21,Mixer 0,281,48,14.19,Conveyor Belt,0
2023-03-22,Mixer 0,282,49,19.71,Conveyor Belt,0
2023-03-23,Mixer 0,283,50,8.12,Conveyor Belt,0
2023-03-24,Mixer 0,284,51,14.65,Conveyor Belt,0
2023-03-25,Mixer 0,285,52,20.71,Conveyor Belt,0
2023-03-26,Mixer 0,286,53,15.5,Conveyor Belt,0
2023-03-27,Mixer 0,287,54,15.91,Conveyor Belt,0
2023-03-28,Mixer 0,288,55,18.25,Conveyor Belt,0
2023-03-29,Mixer 0,289,56,20.01,Conveyor Belt,0
2023-03-30,Mixer 0,290,57,21.86,Conveyor Belt,0
2023-03-31,Mixer 0,291,58,13.74,Conveyor Belt,0
2023-04-01,Mixer 0,292,59,21.68,Conveyor Belt,0
2023-04-02,Mixer 0,293,60,17.09,Conveyor Belt,0
2023-04-03,Mixer 0,294,61,20.61,Conveyor Belt,0
2023-04-04,Mixer 0,295,62,22.41,Conveyor Belt,0
2023-04-05,Mixer 0,296,63,14.06,Conveyor Belt,0
2023-04-06,Mixer 0,297,64,13.62,Conveyor Belt,0
2023-04-07,Mixer 0,298,65,17.98,Conveyor Belt,0
2023-04-08,Mixer 0,299,66,16.47,Conveyor Belt,0
2023-04-09,Mixer 0,300,67,21.47,Conveyor Belt,0
2023-04-10,Mixer 0,301,68,21.83,Conveyor Belt,0
2023-04-11,Mixer 0,302,69,24.0,Conveyor Belt,0
2023-04-12,Mixer 0,303,70,18.59,Conveyor Belt,0
2023-04-13,Mixer 0,304,71,17.95,Conveyor Belt,0
2023-04-14,Mixer 0,305,72,19.65,Conveyor Belt,0
2023-04-15,Mixer 0,306,73,23.2,Conveyor Belt,0
2023-04-16,Mixer 0,307,74,12.63,Conveyor Belt,0
2023-04-17,Mixer 0,308,75,17.98,Conveyor Belt,0
2023-04-18,Mixer 0,309,76,11.72,Conveyor Belt,0
2023-04-19,Mixer 0,310,77,10.87,Conveyor Belt,0
2023-04-20,Mixer 0,311,78,17.03,Conveyor Belt,0
2023-04-21,Mixer 0,312,79,17.49,Conveyor Belt,0
2023-04-22,Mixer 0,313,80,19.37,Conveyor Belt,0
2023-04-23,Mixer 0,314,81,14.2,Conveyor Belt,0
2023-04-24,Mixer 0,315,82,15.61,Conveyor Belt,0
2023-04-25,Mixer 0,316,83,12.63,Conveyor Belt,0
2023-04-26,Mixer 0,317,84,11.51,Conveyor Belt,1
2023-04-27,Mixer 0,318,85,13.41,Conveyor Belt,1
2023-04-28,Mixer 0,319,86,23.56,Conveyor Belt,1
2023-04-29,Mixer 0,320,87,21.53,Conveyor Belt,1
2023-04-30,Mixer 0,321,88,16.2,Conveyor Belt,1
2023-05-01,Mixer 0,322,89,10.79,Conveyor Belt,1
2023-05-02,Mixer 0,323,90,19.87,Conveyor Belt,1
2023-05-03,Mixer 0,324,91,15.07,Conveyor Belt,0
2023-05-04,Mixer 0,325,0,18.78,Hydraulic Pump,0
2023-05-05,Mixer 0,326,1,23.32,Hydraulic Pump,0
2023-05-06,Mixer 0,327,2,21.95,Hydraulic Pump,0
2023-05-07,Mixer 0,328,3,13.39,Hydraulic Pump,0
2023-05-08,Mixer 0,329,4,12.0,Hydraulic Pump,0
2023-05-09,Mixer 0,330,5,17.84,Hydraulic Pump,0
2023-05-10,Mixer 0,331,6,15.86,Hydraulic Pump,0
2023-05-11,Mixer 0,332,7,16.34,Hydraulic Pump,0
2023-05-12,Mixer 0,333,8,18.32,Hydraulic Pump,0
2023-05-13,Mixer 0,334,9,14.43,Hydraulic Pump,0
2023-05-14,Mixer 0,335,10,16.66,Hydraulic Pump,0
2023-05-15,Mixer 0,336,11,20.2,Hydraulic Pump,0
2023-05-16,Mixer 0,337,12,12.92,Hydraulic Pump,0
2023-05-17,Mixer 0,338,13,24.0,Hydraulic Pump,0
2023-05-18,Mixer 0,339,14,24.0,Hydraulic Pump,0
2023-05-19,Mixer 0,340,15,18.06,Hydraulic Pump,0
2023-05-20,Mixer 0,341,16,19.77,Hydraulic Pump,0
2023-05-21,Mixer 0,342,17,16.22,Hydraulic Pump,0
2023-05-22,Mixer 0,343,18,11.32,Hydraulic Pump,0
2023-05-23,Mixer 0,344,19,14.91,Hydraulic Pump,1
